Vessel,Laycan From,Laycan To,Destination,Origin,Charterer
Lian Sheng Hu,7-Jun-17,7-Jun-17,China,Qinzhou Light.,
Ocean Lily,6-Jun-17,1-Jul-17,China,Juaymah,
Dore,6-Jun-17,3-Jul-17,China,Kharg Island,
Maran Artemis,5-Jun-17,22-Jun-17,China,Mina Al Fahal,UNIPEC
Cosgold Lake,5-Jun-17,12-Jul-17,China,Malongo,
Cosgold Lake,5-Jun-17,8-Jul-17,China,Malongo,
Xin Shen Yang,5-Jun-17,29-Jun-17,China,Kharg Island,
Plata Glory,5-Jun-17,31-Jul-17,China,Southwold Light.,UNIPEC
Pacific Dubai,5-Jun-17,11-Jun-17,China,Kozmino,
LAKE TROUT,5-Jun-17,15-Jul-17,China,AMPCO,
Nordic Mistral,4-Jun-17,17-Jul-17,China,Kirkuk Terminal,Trafigura
Ocean Lily,4-Jun-17,1-Jul-17,China,Mina Al-Ahmadi,
Athenian Glory,4-Jun-17,18-Jul-17,China,Dalia,UNIPEC
Fei Ma Zuo,4-Jun-17,11-Jun-17,China,Xinxijiang,
Fei Ma Zuo,4-Jun-17,7-Jun-17,China,Xinxijiang,
Plata Glory,4-Jun-17,31-Jul-17,China,Southwold Light.,UNIPEC
New Courage,4-Jun-17,15-Jul-17,China,Djeno,
Shi Zi Zuo,4-Jun-17,7-Jun-17,China,Aoshan,
New Dragon,3-Jun-17,26-Jun-17,China,Zirku,
Apollonas,3-Jun-17,22-Jul-17,China,Jose Terminal,PetroChina
Sea Ruby,3-Jun-17,23-Jun-17,China,Ras Tanura,Sinochem Group
Gem No. 2,3-Jun-17,17-Jul-17,China,Pacific Terminal,
Yong Xing Zhou,3-Jun-17,25-Jun-17,China,Yeosu,
Madison Orca,3-Jun-17,24-Jun-17,China,Zirku,
Madison Orca,3-Jun-17,23-Jun-17,China,Zirku,
Madison Orca,3-Jun-17,22-Jun-17,China,Zirku,
Madison Orca,3-Jun-17,21-Jun-17,China,Zirku,
Overseas Kilimanjaro,3-Jun-17,8-Jul-17,China,Juaymah,
Overseas Kilimanjaro,3-Jun-17,3-Jul-17,China,Juaymah,
Cosgold Lake,3-Jun-17,12-Jul-17,China,PSVM,
Mars Sun,3-Jun-17,11-Jun-17,China,Rang Dong,
Kythira Warrior,2-Jun-17,13-Jun-17,China,Kozmino,CNOOC
Hong Kong Spirit,2-Jun-17,17-Jul-17,China,Malongo,
Maersk Heiwa,2-Jun-17,10-Jul-17,China,Kizomba B,UNIPEC
Liu Lin Wan,2-Jun-17,7-Jun-17,China,Bohai Pengbo,
Cospearl Lake,2-Jun-17,29-Jun-17,China,Ras Tanura,UNIPEC
Cospearl Lake,2-Jun-17,26-Jun-17,China,Ras Tanura,UNIPEC
Seavoyager,2-Jun-17,1-Jul-17,China,Zueitina,UNIPEC
New Merit,1-Jun-17,29-Jun-17,China,Mina Al Fahal,Sinochem Group
New Merit,1-Jun-17,24-Jun-17,China,Mina Al Fahal,Sinochem Group
Totonno Bottiglieri,1-Jun-17,9-Jun-17,China,Kozmino,CNOOC
Ds Vision,1-Jun-17,3-Jul-17,China,ADCOP Fujairah,UNIPEC
Ds Vision,1-Jun-17,25-Jun-17,China,ADCOP Fujairah,UNIPEC
Ocean Pegasus,1-Jun-17,6-Jun-17,China,Kozmino,PetroChina
Lian Yun Hu,1-Jun-17,2-Jun-17,China,Qinzhou Light.,
Maersk Heiwa,1-Jun-17,10-Jul-17,China,Kizomba A,UNIPEC
Etc Mena,1-Jun-17,8-Jun-17,China,Bach Ho,Vitol
Lian Sheng Hu,31-May-17,31-May-17,China,Qinzhou Light.,
Tian Long Zuo,31-May-17,18-Jun-17,China,Yeosu Light.,
Ningbo Dawn,31-May-17,14-Jun-17,China,Nganhurra,
Feng Huang Zhou,31-May-17,2-Jun-17,China,Hong Kong Light.,
Genmar Kara G,31-May-17,29-Jun-17,China,Marsa al Hariga,
San Ding Chang Chun,31-May-17,4-Jun-17,China,Dongying,
Athenian Success,31-May-17,7-Jul-17,China,Oguendjo,Chemchina
Umm Al Aish,30-May-17,23-Jun-17,China,Mina Al-Ahmadi,
Hong Kong Spirit,30-May-17,17-Jul-17,China,Djeno,
Xin Xia Yang,30-May-17,1-Jul-17,China,Al Basrah,UNIPEC
Newton,30-May-17,19-Jul-17,China,Jose Terminal,
Chryssi,30-May-17,28-Jun-17,China,Mina Al Fahal,UNIPEC
Chryssi,30-May-17,25-Jun-17,China,Mina Al Fahal,UNIPEC
Bei Hai Zhan Wang,30-May-17,31-May-17,China,Weng Chang,
Xin Tong Zhou,30-May-17,31-May-17,China,Aoshan,
San Ding Chang Le,30-May-17,15-Jun-17,China,Weng Chang,
Dong Ting Hu,30-May-17,1-Jun-17,China,Qingdao,
Dong Ting Hu,30-May-17,30-May-17,China,Qingdao,
Al Salmi,30-May-17,20-Jun-17,China,Mina Al-Ahmadi,
Lian An Hu,29-May-17,3-Jun-17,China,Bohai Century,
Cerigo,29-May-17,9-Jul-17,China,Malongo,
Cerigo,29-May-17,4-Jul-17,China,Malongo,
Lian Yun Hu,29-May-17,30-May-17,China,Qinzhou Light.,
Nordic Grace,29-May-17,23-Jun-17,China,Das Island,BP
Maran Thaleia,29-May-17,10-Jul-17,China,Dalia,Total
Maran Taurus,29-May-17,21-Jul-17,China,Hound Point,Mercuria
Lian Sheng Hu,29-May-17,29-May-17,China,Qinzhou Light.,
Anafi Warrior,29-May-17,9-Jun-17,China,Yeosu Light.,UNIPEC
Cosjade Lake,28-May-17,8-Jul-17,China,Pacific Terminal,Shell
Cosjade Lake,28-May-17,28-Jun-17,China,Pacific Terminal,Shell
New Medal,28-May-17,18-Jun-17,China,Juaymah,UNIPEC
New Enterprise,28-May-17,29-Jun-17,China,Pazflor,
Diona,28-May-17,25-Jun-17,China,Kharg Island,
Madison Orca,28-May-17,25-Jun-17,China,Zirku,
Madison Orca,28-May-17,24-Jun-17,China,Zirku,
Maran Cleo,28-May-17,16-Jul-17,China,Angra dos Reis,
Th Symphony,28-May-17,1-Jun-17,China,Kozmino,PetroChina
Bei Hai Wei Wang,28-May-17,1-Jun-17,China,Panyu,
New Inspiration,27-May-17,22-Jun-17,China,Al Basrah,UNIPEC
Athenian Success,27-May-17,7-Jul-17,China,Kizomba C Mondo,Chemchina
Cosgreat Lake,27-May-17,18-Jun-17,China,Mina Al Fahal,UNIPEC
Almi Navigator,27-May-17,8-Jul-17,China,Macae,
Xin Dan Yang,27-May-17,5-Jul-17,China,Greater Plutonio,UNIPEC
Cerigo,27-May-17,16-Jul-17,China,PSVM,
Cerigo,27-May-17,9-Jul-17,China,PSVM,
Nordic Luna,27-May-17,12-Jul-17,China,Bashair,UNIPEC
Nordic Luna,27-May-17,7-Jul-17,China,Bashair,UNIPEC
Seaking,27-May-17,19-Jun-17,China,Mina Al Fahal,
Shi Zi Zuo,27-May-17,30-May-17,China,HYSY112,
Brightoil Gravity,26-May-17,17-Jul-17,China,Kizomba B,UNIPEC
Brightoil Gravity,26-May-17,2-Jul-17,China,Kizomba B,UNIPEC
Herby,26-May-17,15-Jun-17,China,Kharg Island,
Fei Ma Zuo,26-May-17,28-May-17,China,Liuhua,
Smiti,26-May-17,2-Jul-17,China,Juaymah,UNIPEC
Smiti,26-May-17,13-Jun-17,China,Juaymah,UNIPEC
Pacific Dubai,26-May-17,28-May-17,China,Rang Dong,UNIPEC
Cosrising Lake,26-May-17,17-Jul-17,China,Galveston Light.,
Mars Sun,26-May-17,11-Jun-17,China,Chevron Dumai,
Fairway,26-May-17,16-Jul-17,China,Zirku,BP
Fairway,26-May-17,10-Jul-17,China,Zirku,BP
Birdie,26-May-17,25-Jul-17,China,Malta Light.,Vitol
Wu Tai San,26-May-17,14-Jun-17,China,Juaymah,UNIPEC
Pacific Dawn,26-May-17,2-Jun-17,China,Kozmino,
Etc Mena,26-May-17,8-Jun-17,China,Seria,Vitol
Lian Yun Hu,26-May-17,28-May-17,China,Qinzhou Light.,
New Enterprise,25-May-17,29-Jun-17,China,Djeno,
Bukha,25-May-17,11-Jul-17,China,La Paloma Light.,
New Solution,25-May-17,14-Jul-17,China,Jose Terminal,PetroChina
Shinyo Saowalak,25-May-17,15-Jun-17,China,Al Shaheen I,UNIPEC
Shinyo Saowalak,25-May-17,13-Jun-17,China,Al Shaheen I,UNIPEC
Shinyo Saowalak,25-May-17,12-Jun-17,China,Al Shaheen I,UNIPEC
Aquitaine,25-May-17,27-Jun-17,China,Jubilee Light.,
Feng Huang Zuo,25-May-17,8-Jun-17,China,Dalian,
Cosrising Lake,25-May-17,17-Jul-17,China,Galveston Light.,
Catalan Sea,25-May-17,4-Jun-17,China,Kozmino,Chemchina
Arcturus Voyager,25-May-17,4-Jul-17,China,La Paloma Light.,Shell
Brightoil Glory,24-May-17,16-Jun-17,China,Ras Tanura,
Jag Lok,24-May-17,6-Jul-17,China,Sao Sebastiao,
Bei Hai Ming Wang,24-May-17,28-May-17,China,Bohai Pengbo,
Guang Xing Zhou,24-May-17,10-Jun-17,China,Mercuria Storage,
Guang Xing Zhou,24-May-17,9-Jun-17,China,Mercuria Storage,
Xin Tong Zhou,24-May-17,25-May-17,China,Aoshan,
Lian Sheng Hu,24-May-17,29-May-17,China,Qinzhou Light.,
Lian Sheng Hu,24-May-17,24-May-17,China,Qinzhou Light.,
Cosrising Lake,24-May-17,17-Jul-17,China,Galveston Light.,
Lian Xing Hu,23-May-17,14-Jun-17,China,Hong Kong Light.,
Tian Long Zuo,23-May-17,26-May-17,China,Rizhao,
Tian Ying Zuo,23-May-17,4-Jun-17,China,Dalian,
Front Eminence,23-May-17,26-Jun-17,China,Usan,UNIPEC
Shinyo Saowalak,22-May-17,17-Jun-17,China,Juaymah,UNIPEC
Shinyo Saowalak,22-May-17,15-Jun-17,China,Juaymah,UNIPEC
Lian Yun Hu,22-May-17,23-May-17,China,Qinzhou Light.,
Yuan Shan Hu,22-May-17,12-Jun-17,China,Kharg Island,
Feng Huang Zhou,22-May-17,25-May-17,China,Xinxijiang,
New Creation,22-May-17,4-Jul-17,China,Malongo,UNIPEC
New Creation,22-May-17,27-Jun-17,China,Malongo,UNIPEC
Eser K,22-May-17,27-May-17,China,Kozmino,Vitol
Spyros,22-May-17,12-Jun-17,China,Zirku,UNIPEC
Lian Sheng Hu,21-May-17,22-May-17,China,Qinzhou Light.,
Nordic Space,21-May-17,7-Jul-17,China,Sheskharis,
Cosrising Lake,21-May-17,17-Jul-17,China,Galveston Light.,
Xin Dan Yang,21-May-17,5-Jul-17,China,Malongo,UNIPEC
Fsl Hong Kong,21-May-17,11-Jun-17,China,Pelepas Light.,Tesoro
Gener8 Noble,21-May-17,4-Jul-17,China,Angra dos Reis,Petrobras
Lian An Hu,21-May-17,24-May-17,China,Bohai Century,
Hilda I,21-May-17,27-Jun-17,China,Kharg Island,
Eagle Vancouver,21-May-17,28-Jun-17,China,Massongo,UNIPEC
Tian Hong Zuo,20-May-17,22-May-17,China,Aoshan,
Bw Edelweiss,20-May-17,21-Jun-17,China,Al Basrah,
Sea Splendor,20-May-17,10-Jun-17,China,Mina Al Fahal,
Etc Ramsis,20-May-17,27-May-17,China,Kozmino,CNOOC
Plata Sunrise,20-May-17,20-Jun-17,China,Al Basrah,UNIPEC
Plata Sunrise,20-May-17,12-Jun-17,China,Al Basrah,UNIPEC
Cosglory Lake,20-May-17,10-Jun-17,China,Juaymah,UNIPEC
Seaking,20-May-17,30-Jun-17,China,Juaymah,
Seaking,20-May-17,19-Jun-17,China,Juaymah,
Sea Horizon,20-May-17,12-Jun-17,China,Mina Al Fahal,Sinochem Group
Brightoil Gravity,20-May-17,17-Jul-17,China,PSVM,UNIPEC
San Ding Chang Chun,19-May-17,23-May-17,China,Dongying,
Ling Yang Zuo,19-May-17,1-Jun-17,China,Panyu,
Scf Shanghai,19-May-17,13-Jul-17,China,Jose Terminal,
Aquitaine,19-May-17,2-Jul-17,China,Kizomba B,
Aquitaine,19-May-17,27-Jun-17,China,Kizomba B,
Liu Lin Wan,19-May-17,21-May-17,China,Beibu II,
Yuan Shan Hu,19-May-17,12-Jun-17,China,Sirri,
Dubai Glamour,19-May-17,29-May-17,China,Pelepas Light.,
Feng Huang Zuo,19-May-17,21-May-17,China,Dalian,
Brightoil Legend,19-May-17,25-May-17,China,UT,UNIPEC
Yu Lin Wan,18-May-17,24-May-17,China,Rizhao,
Cosglory Lake,18-May-17,10-Jun-17,China,Ras Tanura,UNIPEC
Yong Xing Zhou,18-May-17,25-May-17,China,Xinxijiang,
Front Balder,18-May-17,20-Jul-17,China,Yuum Kak Naab,
Ocean Pegasus,18-May-17,22-May-17,China,Kozmino,Trafigura
New Laurel,18-May-17,6-Jun-17,China,Juaymah,UNIPEC
Front Eminence,17-May-17,4-Jul-17,China,Malongo,UNIPEC
Front Eminence,17-May-17,26-Jun-17,China,Malongo,UNIPEC
Mare Tirrenum,17-May-17,10-Jun-17,China,Kozmino,Sinochem Group
Guang Xing Zhou,17-May-17,19-May-17,China,Mercuria Storage,
New Creation,17-May-17,4-Jul-17,China,Sendje Ceiba,UNIPEC
Starla,17-May-17,22-Jun-17,China,Kharg Island,
Starla,17-May-17,12-Jun-17,China,Kharg Island,
Sea Splendor,17-May-17,10-Jun-17,China,Ras Tanura,
Cape Bellavista,17-May-17,28-Jun-17,China,Angra dos Reis,Petrobras
Lian Yun Hu,16-May-17,23-May-17,China,Qinzhou Light.,
Lian Yun Hu,16-May-17,19-May-17,China,Qinzhou Light.,
Lu San,16-May-17,4-Jun-17,China,Al Basrah,UNIPEC
Kun Lun San,16-May-17,10-Jun-17,China,Juaymah,PetroChina
Kun Lun San,16-May-17,9-Jun-17,China,Juaymah,PetroChina
Kun Lun San,16-May-17,8-Jun-17,China,Juaymah,PetroChina
Kun Lun San,16-May-17,7-Jun-17,China,Juaymah,PetroChina
Kun Lun San,16-May-17,6-Jun-17,China,Juaymah,PetroChina
Anafi Warrior,16-May-17,20-May-17,China,Kozmino,Chemchina
Astro Chorus,16-May-17,11-Jun-17,China,Juaymah,UNIPEC
Lian Sheng Hu,16-May-17,16-May-17,China,Qinzhou Light.,
Al Derwazah,16-May-17,3-Jun-17,China,Mina Al-Ahmadi,
Colorado,15-May-17,5-Jul-17,China,Caleta Cordova,
Al Funtas,15-May-17,14-Jun-17,China,Mina Al-Ahmadi,
Al Funtas,15-May-17,7-Jun-17,China,Mina Al-Ahmadi,
Almi Voyager,15-May-17,3-Jul-17,China,Cap Lopez,
Birdie,15-May-17,25-Jul-17,China,Malta Light.,Vitol
San Ding Chang Le,15-May-17,18-May-17,China,Xinxijiang,
Lian Yun Hu,14-May-17,15-May-17,China,Qinzhou Light.,
Eagle Vancouver,14-May-17,28-Jun-17,China,Djeno,UNIPEC
Bei Hai Wei Wang,14-May-17,19-May-17,China,Bohai Pengbo,
Hakone,14-May-17,17-Jun-17,China,Malongo,
Tian Long Zuo,14-May-17,26-May-17,China,Mercuria Storage,
Marbella,14-May-17,15-Jun-17,China,Mina Al Fahal,UNIPEC
Marbella,14-May-17,10-Jun-17,China,Mina Al Fahal,UNIPEC
Tian Hong Zuo,14-May-17,16-May-17,China,HYSY112,
Hakone,14-May-17,17-Jun-17,China,Malongo,
Colorado,13-May-17,5-Jul-17,China,Caleta Cordova,
Antigone,13-May-17,10-Jul-17,China,Jose Terminal,
Yuan Yang Hu,13-May-17,5-Jun-17,China,Kharg Island,UNIPEC
Heydar Aliyev,13-May-17,21-May-17,China,Tankstore,
Elbhoff,13-May-17,4-Jul-17,China,Aruba Light.,PetroChina
Bei Hai Ming Wang,13-May-17,20-May-17,China,Weng Chang,
Cosglad Lake,13-May-17,26-Jun-17,China,N'Goma,
New Spring,13-May-17,30-May-17,China,Mina Al Fahal,UNIPEC
Brightoil Lucky,13-May-17,24-May-17,China,Pelepas Light.,
Xin Tong Yang,13-May-17,21-Jun-17,China,Kizomba A,UNIPEC
Qi Lian San,13-May-17,3-Jun-17,China,Ras Tanura,
Al Jabriyah II,13-May-17,10-Jun-17,China,Mina Al-Ahmadi,
Hua San,13-May-17,2-Jun-17,China,Al Basrah,
Xin Tong Zhou,13-May-17,18-May-17,China,Aoshan,
Shi Zi Zuo,12-May-17,18-May-17,China,Rizhao,
Harbour Splendor,12-May-17,18-Jun-17,China,Clov,Statoil ASA
New Spirit,12-May-17,3-Jun-17,China,Kharg Island,UNIPEC
Th Symphony,12-May-17,17-May-17,China,Kozmino,PetroChina
Lian Yun Hu,12-May-17,13-May-17,China,Qinzhou Light.,
New Dream,12-May-17,19-Jun-17,China,Jubilee Light.,CNOOC
New Dream,12-May-17,14-Jun-17,China,Jubilee Light.,CNOOC
Sydney Spirit,12-May-17,9-Jun-17,China,Valdez,Phillips 66
Dong Ting Hu,12-May-17,18-May-17,China,Bohai Century,
Sea Cliff,12-May-17,2-Jun-17,China,Soroosh,
Hakone,11-May-17,17-Jun-17,China,Djeno,
Phoenix M,11-May-17,1-Jun-17,China,Juaymah,
New Caesar,11-May-17,7-Jun-17,China,Al Basrah,CNOOC
Sea Cliff,11-May-17,2-Jun-17,China,Kharg Island,
Dht Puma,11-May-17,14-May-17,China,Rizhao,
Lian Sheng Hu,11-May-17,14-May-17,China,Qinzhou Light.,
Katsuragisan,10-May-17,3-Jun-17,China,Al Basrah,CNOOC
Olympic Leader,10-May-17,18-Jun-17,China,Olombendo,UNIPEC
Sea Voyager,10-May-17,4-Jun-17,China,Bashair,Glencore
Ilma,10-May-17,5-Jun-17,China,EOPL Light.,
Ilma,10-May-17,29-May-17,China,EOPL Light.,
Ratna Shalini,10-May-17,14-May-17,China,Rang Dong,UNIPEC
Lian Yun Hu,10-May-17,10-May-17,China,Qinzhou Light.,
Elbhoff,9-May-17,4-Jul-17,China,Saint Croix,PetroChina
E Mei San,9-May-17,7-Jun-17,China,Juaymah,UNIPEC
Kythira Warrior,9-May-17,21-May-17,China,Pelepas Light.,Chemchina
Sophie Schulte,9-May-17,15-May-17,China,Kozmino,Vitol
Bei Hai Zhan Wang,9-May-17,18-May-17,China,Panyu,
Xin Jin Yang,9-May-17,29-May-17,China,Kharg Island,UNIPEC
Lian Sheng Hu,8-May-17,9-May-17,China,Qinzhou Light.,
Tenjun,8-May-17,27-Jun-17,China,Jose Terminal,
Xin Jin Yang,8-May-17,29-May-17,China,Soroosh,UNIPEC
New Giant,8-May-17,2-Jun-17,China,Al Basrah,Total
Eco Seas,8-May-17,28-May-17,China,Ras Tanura,
Xin Ning Yang,8-May-17,11-Jun-17,China,Al Basrah,
Xin Ning Yang,8-May-17,2-Jun-17,China,Al Basrah,
Odessa,8-May-17,18-Jun-17,China,Kizomba B,
Lian Yun Hu,7-May-17,8-May-17,China,Qinzhou Light.,
Qi Lian San,7-May-17,3-Jun-17,China,Mina Al Fahal,
Guang Xing Zhou,7-May-17,12-May-17,China,Rizhao,
Hero II,7-May-17,31-May-17,China,Kharg Island,
New Dream,7-May-17,19-Jun-17,China,Pazflor,CNOOC
Victory I,7-May-17,24-May-17,China,Tanjung Bruas Light.,Statoil ASA
Olympic Leader,7-May-17,24-Jun-17,China,Djeno,UNIPEC
Olympic Leader,7-May-17,18-Jun-17,China,Djeno,UNIPEC
Lian Sheng Hu,7-May-17,7-May-17,China,Qinzhou Light.,
Ling Yang Zuo,6-May-17,9-May-17,China,Dongying,
Liu Lin Wan,6-May-17,12-May-17,China,Bohai Pengbo,
Achilleas,6-May-17,15-Jun-17,China,P-47,
Arcturus Voyager,6-May-17,13-Jul-17,China,La Paloma Light.,Shell
Arcturus Voyager,6-May-17,4-Jul-17,China,La Paloma Light.,Shell
Brightoil Gem,6-May-17,21-May-17,China,Mina Al Fahal,UNIPEC
Tian Ying Zuo,6-May-17,19-May-17,China,Dalian,
Coswisdom Lake,6-May-17,24-May-17,China,Juaymah,
Lian An Hu,5-May-17,14-May-17,China,Bohai Century,
Militos,5-May-17,10-Jun-17,China,Sao Sebastiao,Petrobras
Harbour Splendor,5-May-17,18-Jun-17,China,PSVM,Statoil ASA
Cosglad Lake,5-May-17,26-Jun-17,China,Kome-Kribi,
Yu Lin Wan,5-May-17,7-May-17,China,Aoshan,
Alpine Amalia,5-May-17,10-May-17,China,Tianjin,
Boyaca,5-May-17,31-May-17,China,Zirku,PetroChina
Boyaca,5-May-17,30-May-17,China,Zirku,PetroChina
Boyaca,5-May-17,29-May-17,China,Zirku,PetroChina
Boyaca,5-May-17,28-May-17,China,Zirku,PetroChina
Boyaca,5-May-17,25-May-17,China,Zirku,PetroChina
Bei Hai Ming Wang,5-May-17,7-May-17,China,Xinxijiang,
Seahero,5-May-17,22-Jun-17,China,Jose Terminal,PetroChina
Bm Bonanza,4-May-17,6-Jun-17,China,Yeosu Light.,
Advantage Sky,4-May-17,26-May-17,China,Mina Al Fahal,Shell
Jiaolong Spirit,4-May-17,10-Jun-17,China,Sheskharis,
Great Lady,4-May-17,15-Jun-17,China,Dalia,UNIPEC
Great Lady,4-May-17,8-Jun-17,China,Dalia,UNIPEC
Zirku,4-May-17,17-Jun-17,China,Bashair,
Nave Galactic,4-May-17,8-Jun-17,China,Pacific Terminal,
Nave Galactic,4-May-17,4-Jun-17,China,Pacific Terminal,
Tian Long Zuo,4-May-17,9-May-17,China,Weng Chang,
Athina,3-May-17,19-Jun-17,China,Angra dos Reis,Petrobras
Athina,3-May-17,14-Jun-17,China,Angra dos Reis,Petrobras
Brightoil Gem,3-May-17,26-May-17,China,ADCOP Fujairah,UNIPEC
Brightoil Gem,3-May-17,21-May-17,China,ADCOP Fujairah,UNIPEC
Blue Power,3-May-17,1-Jun-17,China,Bach Ho,
Irene Sl,3-May-17,30-May-17,China,Das Island,Shell
Irene Sl,3-May-17,25-May-17,China,Das Island,Shell
Tokio,3-May-17,1-Jun-17,China,Al Basrah,SPC
Tokio,3-May-17,23-May-17,China,Al Basrah,SPC
Tokio,3-May-17,22-May-17,China,Al Basrah,SPC
Tokio,3-May-17,21-May-17,China,Al Basrah,SPC
New Wealth,2-May-17,24-Jun-17,China,Hound Point,UNIPEC
Rene,2-May-17,23-May-17,China,Mina Al Fahal,UNIPEC
New Vanguard,2-May-17,9-Jun-17,China,Jubilee Light.,
New Vanguard,2-May-17,3-Jun-17,China,Jubilee Light.,
Overseas Silvermar,2-May-17,19-May-17,China,Pelepas Light.,
Overseas Silvermar,2-May-17,16-May-17,China,Pelepas Light.,
Ocean Pegasus,2-May-17,9-May-17,China,Kozmino,BP
Maran Capricorn,2-May-17,22-Jun-17,China,Santos Light.,UNIPEC
Yong Xing Zhou,2-May-17,12-May-17,China,Mercuria Storage,
Desh Vishal,2-May-17,3-Jun-17,China,Al Basrah,UNIPEC
Bw Bauhinia,2-May-17,7-Jun-17,China,Malongo,UNIPEC
Marina,1-May-17,22-Jun-17,China,La Paloma Light.,
Marina,1-May-17,13-Jun-17,China,La Paloma Light.,
Asia Dawn,1-May-17,15-Jun-17,China,La Paloma Light.,Shell
Feng Huang Zuo,1-May-17,12-May-17,China,Dalian,
Dilong Spirit,1-May-17,25-May-17,China,Das Island,BP
Overseas Everest,1-May-17,5-Jun-17,China,Kizomba C Mondo,UNIPEC
V8 Stealth,1-May-17,8-May-17,China,Kozmino,Trafigura
Sarasota,1-May-17,17-Jun-17,China,Bashair,UNIPEC
Dar Salwa,1-May-17,19-May-17,China,Mina Al-Ahmadi,
Xin Tong Zhou,1-May-17,3-May-17,China,Aoshan,
Gener8 Chiotis,1-May-17,6-Jun-17,China,Djeno,UNIPEC
Till Jacob,1-May-17,28-May-17,China,Mina Al-Ahmadi,
Great Lady,30-Apr-17,15-Jun-17,China,Malongo,UNIPEC
Sara,30-Apr-17,18-Jun-17,China,Frederikshavn Light.,BP
Captain X Kyriakou,30-Apr-17,25-Jun-17,China,Kizomba B,UNIPEC
Captain X Kyriakou,30-Apr-17,17-Jun-17,China,Kizomba B,UNIPEC
Olympic Future,30-Apr-17,3-Jun-17,China,Sidi Kerir,UNIPEC
Mare Tirrenum,30-Apr-17,7-May-17,China,Kozmino,PetroChina
Yuan Chun Hu,30-Apr-17,22-May-17,China,Kharg Island,UNIPEC
Khk Vision,29-Apr-17,17-May-17,China,Mina Al Fahal,
Nordic Castor,29-Apr-17,17-Jun-17,China,Bullenbay,
Jasmin Joy,29-Apr-17,5-Jun-17,China,Esmeraldas,UNIPEC
Front Stratus,29-Apr-17,24-May-17,China,Al Basrah,
Polymnia I,29-Apr-17,7-Jun-17,China,TEN,
Bw Bauhinia,29-Apr-17,7-Jun-17,China,PSVM,UNIPEC
Yang Lin Wan,29-Apr-17,15-May-17,China,Beibu II,
Dht Sophie,29-Apr-17,27-May-17,China,Pyrenees,
Yu Lin Wan,29-Apr-17,30-Apr-17,China,Aoshan,
Shinyo Kannika,29-Apr-17,28-May-17,China,Al Basrah,
Nave Galactic,29-Apr-17,17-Jun-17,China,Pacific Terminal,
Nave Galactic,29-Apr-17,8-Jun-17,China,Pacific Terminal,
Bei Hai Wei Wang,29-Apr-17,8-May-17,China,Panyu,
Esteem Brilliance,28-Apr-17,6-May-17,China,Kozmino,
Brightoil Legend,28-Apr-17,4-May-17,China,UT,Trafigura
Captain X Kyriakou,28-Apr-17,25-Jun-17,China,Pazflor,UNIPEC
Sara,28-Apr-17,22-Jun-17,China,Frederikshavn Light.,BP
Sara,28-Apr-17,18-Jun-17,China,Frederikshavn Light.,BP
Hs Medea,28-Apr-17,8-May-17,China,Kozmino,Chemchina
Album,28-Apr-17,22-Jun-17,China,Bashair,
Lian Xing Hu,28-Apr-17,11-May-17,China,Bohai Youyi,
Delta Commander,27-Apr-17,17-Jun-17,China,Saint Croix,UNIPEC
Tai Hung San,27-Apr-17,17-May-17,China,Juaymah,
Vl Brilliant,27-Apr-17,11-Jun-17,China,Jose Terminal,
Achilleas,27-Apr-17,15-Jun-17,China,P-35,
Signal Cheetah,27-Apr-17,16-May-17,China,Manora,PTT
Bei Hai Zhan Wang,27-Apr-17,2-May-17,China,Bohai Pengbo,
Shinyo Kieran,27-Apr-17,19-May-17,China,Zirku,
Sea Hymn,27-Apr-17,3-Jun-17,China,Kozmino,
San Ding Chang Le,27-Apr-17,9-May-17,China,Xinxijiang,
New Vanguard,27-Apr-17,9-Jun-17,China,Malongo,
Sara,26-Apr-17,22-Jun-17,China,Frederikshavn Light.,BP
Radiant Star,26-Apr-17,13-May-17,China,Pelepas Light.,
Etc Ramsis,26-Apr-17,30-Apr-17,China,Kozmino,Chemchina
C. Freedom,26-Apr-17,16-May-17,China,Juaymah,UNIPEC
Irene Sl,26-Apr-17,30-May-17,China,Mina Al Fahal,Shell
Shi Zi Zuo,26-Apr-17,6-May-17,China,Weng Chang,
Shi Zi Zuo,26-Apr-17,4-May-17,China,Weng Chang,
Yamato Spirit,26-Apr-17,17-Jun-17,China,Vincent,
Nordic Aurora,26-Apr-17,25-Jun-17,China,Yuum Kak Naab,
Nordic Aurora,26-Apr-17,14-Jun-17,China,Yuum Kak Naab,
New Andros,26-Apr-17,21-May-17,China,Al Basrah,
Olympic Legend,26-Apr-17,15-Jun-17,China,Sao Sebastiao,Petrobras
Olympic Legend,26-Apr-17,9-Jun-17,China,Sao Sebastiao,Petrobras
Oceanis,25-Apr-17,29-May-17,China,N'Goma,UNIPEC
Gener8 Chiotis,25-Apr-17,6-Jun-17,China,Djeno,UNIPEC
Nordic Sirius,25-Apr-17,27-Apr-17,China,Zhu Hai,
Asia Dawn,25-Apr-17,28-Jun-17,China,La Paloma Light.,Shell
Asia Dawn,25-Apr-17,15-Jun-17,China,La Paloma Light.,Shell
Dht Lotus,25-Apr-17,13-Jun-17,China,Malongo,Sinochem Group
Dht Lotus,25-Apr-17,1-Jun-17,China,Malongo,Sinochem Group
Dht Jaguar,25-Apr-17,27-May-17,China,Dalia,PetroIneos
